38 Provinsi,,,
,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2019,2019,2019
ACEH,78.58,58.68,65.16
SUMATERA UTARA,79.77,56.3,68.91
SUMATERA BARAT,82.43,58.52,69.67
RIAU,85.41,69.55,76
JAMBI,84.26,64.51,70.81
SUMATERA SELATAN,81.66,58.1,66.42
BENGKULU,86,58.19,67.36
LAMPUNG,82.62,62.85,68.68
KEP. BANGKA BELITUNG,81.67,66.26,74.8
KEP. RIAU,90.39,66.59,87.96
DKI JAKARTA,93.33,-,93.33
JAWA BARAT,82.53,62.52,77.55
JAWA TENGAH,80.81,69.4,75.16
DI YOGYAKARTA,87.24,72.91,83.68
JAWA TIMUR,80.82,64.59,73.24
BANTEN,89.61,63,82.25
BALI,86.58,63.82,79.59
NUSA TENGGARA BARAT,74.4,56.94,65.25
NUSA TENGGARA TIMUR,82.79,39.33,49.83
KALIMANTAN BARAT,85.95,53.35,64.71
KALIMANTAN TENGAH,86.41,62.49,71.84
KALIMANTAN SELATAN,84.71,65.04,74.35
KALIMANTAN TIMUR,88.83,74.38,84.17
KALIMANTAN UTARA,88.83,67.47,80.72
SULAWESI UTARA,82.79,64.5,74.06
SULAWESI TENGAH,83.3,52.6,61.66
SULAWESI SELATAN,84.42,63.86,72.62
SULAWESI TENGGARA,86.27,61.9,71.21
GORONTALO,81.77,65.83,72.68
SULAWESI BARAT,73.74,54.69,59.09
MALUKU,80.78,40.32,58.52
MALUKU UTARA,83.31,41.17,53.61
PAPUA BARAT,85.06,53.71,66.62
PAPUA BARAT DAYA,-,-,-
PAPUA,77.95,14.35,31.31
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,83.57,61.24,73.75